text,kw,prob
""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing your patient recover from an illness , watching their families smile when you give them care , and hearing the first cry of a newborn are just some of the things that make my work special . It might be a heavy work but it can lighten your heart , "" she expressed .",in-need,0.43292233943939207
"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",in-need,0.43056054711341857
""" Is it the bad gas , the ZIKV , is it the joblessness , the hopelessness , the poverty ? What has changed to make the fortunes of this incompetent , wicked , uncaring , insensitive government be showing up or showing signs ? """,hopeless,0.4298533499240875
"Usually children of poor families remember their parents ' struggles and become generous to them as poverty early in life drove them to success . It is the children of the rich that feel a sense of entitlement that mostly becomes ungrateful to their parents . The same children that inflated their school fees and shared it equally with the bursar , regardless of their fathers ' sweat on the farm .",poor-families,0.4273019313812256
"But he said when the company sent him his refund , they 're going to give all of the money to a group in Columbus that helps the homeless . "" We 're just going to donate it directly to that group and let them help other homeless people , because that 's what was intended to happen , "" he said .",homeless,0.4270681977272034
"She added : "" I am really happy with the awards , but I just want to help those in need . """,in-need,0.42586963176727294
"The question that one should really ask is , is Siachen really worth all this fuss ? Why do our soldiers continue to stand eye-to-eye defending hopeless territory ? Many of them will actually never return to see their sons , wives , daughters or beloved . And the others who will be fortunate enough to return may be handicapped or suffer permanent mental damage .",hopeless,0.4252085030078888
"She said : ' He stated he had no wishes to be dead , no feelings of hopelessness .",hopeless,0.42460920810699465
"Many of the children are from poor families , with parents convinced their children will have a better life at the orphanage , according to Lumos .",poor-families,0.42358381152153013
"In another development , Eiremiokhae was also bestowed with a Humanitarian Award by the Trinity International University of Ambassadors also in Georgia for his works of charity and care for widows and the vulnerable .",vulnerable,0.4231699347496033
"A happy day it was indeed when a 31 homeless street dogs found their forever homes in the loving arms of the kind children and adults who visited Embark 's ' Adopt A Dog Day ' at Lyceum International School , Nugegoda on the 15th of September . Students from grades 1 to 8 were invited to attend along with their families and friends . The organizers were delighted by the fact that all the puppies and adult dogs who had been put up for adoption found good homes and new families in record time . In fact , Embark ran out of dogs as the demand was so high , but this was just the first adoption day of many more to come at the Lyceum Schools , so everyone who missed out can find their forever friends at future adoption days .",homeless,0.4225746154785156
"Do you want to be on the side saying disability and the people with them are a part of life , not negative or positive , just people ? Do you want to use terminology that acknowledges the causes of someone being disabled ? Or do you want to be saying , "" I do n't think of my child as disabled "" and in doing so , forever telling your child , and others like them , that being disabled is somehow a bad thing .",disabled,0.421778804063797
"My own sense of revulsion grew last night after my wife returned from a Delhi home for the blind where children live in squalid , cramped conditions , Braille books were missing , and unpaid teachers were absent . "" House mothers "" paid for by foreign donors were missing and these vulnerable children were left alone at night protected only by a low-paid security guard .",vulnerable,0.42130467891693113
"Black grew up in the neighbourhood around the church , where he would eat Franklin 's cooking at lavish meals she provided for the community and the homeless each Thanksgiving and Christmas . "" She made the best oxtail soup , with that cornbread , and it was to die for , "" he recalled . "" It would be so much food that you would n't know what to do . """,homeless,0.42099702954292295
"But Fashola should avoid holding the taxation can for a government that many have defined as clueless as former President Goodluck Jonathan 's . Fashola should not squander his credibility with the people for a hopeless case . Some think he is young enough to be considered for the Presidency of Nigeria in the future . Jesus said , "" Let the dead bury their dead . "" Fashola should let those with the responsibility to levy tax do it .",hopeless,0.41941745281219484
"Parton will be the 2019 focus of Musicares , a charitable wing of the Recording Academy that raises money to help musicians in need through the annual star-studded gala .",in-need,0.4186782419681549
"Good Honeybadger , this is a cancer that is eating our country away , people want to accept wrong things because they are hopeless with the situation in this country .... the herdboy has successfully put our people in such despair that we start to think that wrong is good as long as it 's done by the likes of the Dancing Clown from Nkandla .... no morals at all . The ANC has got a serious problem when it comes to money really .....",hopeless,0.41860899329185486
"6 years ago she lost her husband -- he died from heart disease , and since then Wood lives alone with her children and a dog . When she learnt about Michael and Cory 's terrible life problems , she realised she had to help . This woman has a big kind heart . There were 2 empty rooms in her house , so she invited the homeless to live there . Many people might consider her action as a madness but Mel says that since her husband 's death , she does n't fear anything .",homeless,0.418607759475708
""" It 's the politicians that have no faith in the people . All we hear from them is negativity . If you keep feeding negativity , the response is a people who are tired , bored and feeling hopelessness . Give the people something to strive for . Build youth centres . There are sooooo many talented youth . Jamaica must stop bad-mouthing ALL youth . The majority just want one simple thing and that is , A CHANCE . """,hopeless,0.41859790682792664
His friends at the Chevron want people to know he was n't just a faceless homeless person . He was their friend and their family .,homeless,0.4179545819759369
